x	y	z	feature_id	adjacent_bolt_dist
1505.2289179429745	735.720037136033	1244.3578953628987	00605-12	8.065362399338907
1502.4371309668397	743.1798477792403	1243.090133050773	00605-13	7.850166880736111
1499.466088512061	750.376516552415	1244.0931212643236	00605-14	7.724406949595
1496.2365119402525	756.6980731287504	1247.1384817260698	00605-15	7.696758973467416
1493.5227399289674	762.0951205368735	1251.9079072093841	00605-16	7.686111672619674
1491.2587829934666	766.0944721779608	1258.068751152312	00605-17	7.732790783443077
1489.6490294221705	768.8755137456554	1265.102281882959	00605-18	7.887860591364288
1489.8641242055628	770.1231794161434	1272.887871733294	00605-19	7.717377949483946
1490.494090027133	769.3039701993158	1280.5357447538076	00605-20	7.700129678549061
1491.8475281761855	766.6226124907963	1287.6259156320111	00605-21	8.057449948942997
1493.267273588913	761.9913342101183	1294.0647108710043	00605-22	7.671588631784068
1495.967721294092	756.5735334359512	1298.777278016239	00605-23	7.786862086218362
1499.2788393086253	750.1711117000679	1301.7235832549247	00605-24	7.687856065641496
1502.3601563403047	743.4173591579365	1369.0640987696538	00606-01	7.808581454790763
1505.1171695730716	736.2005685755302	1367.9279843123295	00606-02	7.819015658190048
1508.241264600677	729.7862170734292	1364.7290577847257	00606-03	7.795650085953493
1511.0607785140053	724.2881927281304	1359.975718973566	00606-04	7.541650708768392
1513.197336487122	720.2054566488273	1354.0055530171344	00606-05	7.756871294663798
1513.7441988891778	717.2256943204686	1346.864754023906	00606-06	7.733134666356348
1514.5057191659612	716.6301221056146	1339.192286860539	00606-07	7.851716763014872
1513.4534168640819	717.1937114501944	1331.4318433781893	00606-08	7.7933096545705745
1512.676223680095	720.193049999158	1324.2809263464032	00606-09	7.497000760709558
1510.3096079067323	724.1060523273351	1318.340171935806	00606-10	7.834780755332066
1508.5812683270792	730.1790701377975	1313.7017361590238	00606-11	7.771527260447103
1505.055410271678	736.5466352216893	1310.977938105673	00606-12	7.442016927808271
1502.1155119125992	743.2986864848997	1309.9053630122419	00606-13	7.852782873664461
1499.529983669902	750.6424799634477	1310.930028768266	00606-14	7.763455632370956
1495.6350326700403	756.6682641274475	1313.8949107681706	00606-15	
1490.7708263112152	766.3185432319592	1324.6696969609338	00606-17	7.7494902772553775
1490.142967155084	769.5793489421745	1331.6716637244629	00606-18	7.703735303420193
1490.4819049757018	770.8449364825553	1339.263168644869	00606-19	7.8434325268612355
1490.7352457032832	769.8605880091022	1347.0404631848735	00606-20	7.715601979602332
1492.310248549809	767.2729479378074	1354.1365183426713	00606-21	7.763060539954503
1493.4911927611981	762.5623685620519	1360.1929960039272	00606-22	7.734468049181351
1496.3630497272134	757.1241306574237	1364.8834119836908	00606-23	7.782538487188534
1499.3673663061245	750.6030822176479	1367.8863962401176	00606-24	7.872635602365413
1468.3605166950001	808.8791254340355	1236.9155612533273	00655-01	7.728537870477993
1472.2927901679905	802.3566795164872	1235.602084111658	00655-02	7.817195285549295
1476.3486408074775	796.4570366177668	1232.4631621008136	00655-03	7.897206581991573
1479.6236199583839	791.0372644690234	1227.7444278197288	00655-04	7.471129689716062
1481.3641949760124	786.532310498564	1222.0441149184394	00655-05	7.828414544186132
1483.0690861849064	784.3041959301814	1214.7357001989792	00655-06	7.706105079254583
1482.9929651940845	782.88605526356	1207.1615904732791	00655-07	7.967746994462942
1481.9942325956288	783.5230792263532	1199.2823947125823	00655-08	8.078131637451586
1479.917927857582	785.4570484764572	1191.7190004794081	00655-09	7.631330254378666
1477.7910432293543	789.852517682147	1185.854410664985	00655-10	7.72031860330727
1474.9803415619356	795.1725749325249	1181.0170284880173	00655-11	7.972722589226539
1471.2523250391043	801.5407411516798	1177.9983106649217	00655-12	7.936328483249976
1467.238304725505	808.3050313934566	1176.9412731816415	00655-13	7.83323858608014
1463.5312831519657	815.122019736382	1178.0119214582423	00655-14	7.503942582489296
1459.9078499608356	821.1120704341604	1180.7136207066335	00655-15	7.945939217127699
1456.6185057815587	826.5665888460439	1185.4640305633689	00655-16	7.773566455502722
1454.0114942533899	830.5929233685431	1191.5812567847083	00655-17	7.657191455578279
1452.3035178577268	833.0201195493244	1198.6398767857595	00655-18	7.818122238023064
1452.6433745215984	834.2943826319827	1206.3459644035372	00655-19	8.106669743859797
1452.989825687649	833.5758518976775	1214.41329230746	00655-20	7.902996243222979
1454.7350269012907	830.8581080453916	1221.6261621037106	00655-21	7.623770181598329
1457.4096308096064	827.0573514604176	1227.6695564394483	00655-22	8.051307177781238
1460.8151334398392	821.6598722428336	1232.5780508320515	00655-23	8.011644938965965
1464.1497017573822	815.1721998835844	1235.891239043236	00655-24	7.640875895898193
1467.9422427065142	808.943137411951	1303.5491827494286	00656-01	7.871478776580595
1472.451704057287	802.5708521355357	1302.539768655994	00656-02	7.953598673047536
1476.6042544893762	796.5767230595377	1299.3638477846348	00656-03	7.687652871105744
1479.814273916399	791.1737523435311	1294.9362424062467	00656-04	7.76272052466817
1481.9481592255368	787.1267813452025	1288.6650073468475	00656-05	7.972672773181001
